partner_id;n_loans;total_volume;median_amount;pct_female;pct_funded;avg_mpi;avg_days_to_fund;n_countries;n_sectors;profil
23,0;3348;1909075,0;500,0;51,4336917562724;89,48626045400239;0,381;19,83731963380325;1;14;Pro-pauvres
40,0;513;226025,0;350,0;74,26900584795322;98,635477582846;0,15649999999999994;9,013795427097058;1;11;Pro-genre
57,0;461;441750,0;600,0;61,82212581344903;94,79392624728851;0,5017180043383948;17,78504817675227;1;12;Champion
65,0;2714;1775950,0;700,0;75,01842299189389;81,02431834929993;0,3855;14,092155493658733;1;13;Champion
78,0;3812;3992725,0;875,0;89,66421825813221;95,67156348373557;0,45216671038824763;14,721203830647209;1;10;Champion
87,0;4440;5991150,0;975,0;45,29279279279279;93,24324324324324;;14,291493813182143;1;14;Non classifié
104,0;495;468650,0;625,0;92,92929292929293;98,98989898989899;0,33449999999999996;19,45948965419501;1;6;Champion
105,0;2011;5995125,0;2950,0;99,75136747886624;97,41422178020885;0,399;17,30901313146352;1;10;Champion
108,0;1183;1002675,0;700,0;59,84784446322908;83,34742180896028;0,399;20,439710014273906;1;14;Champion
111,0;483;393475,0;775,0;66,66666666666666;98,34368530020704;0,2835;16,5222865497076;1;10;Champion
112,0;1530;469175,0;225,0;99,86928104575163;99,93464052287581;0,0764045751633987;7,5282706334932055;1;10;Pro-genre
117,0;1115;2786350,0;2375,0;8,161434977578477;77,75784753363229;0,266;24,13959836494511;1;11;Pro-pauvres
133,0;11233;3909950,0;275,0;60,233241342473065;93,76836107896376;0,2079163179916318;15,406126810227821;1;15;Pro-genre
138,0;13306;6100200,0;400,0;64,15151059672328;89,6061926950248;0,20651645874041785;15,237241103019063;1;15;Pro-genre
148,0;2132;2517225,0;1150,0;64,6810506566604;90,80675422138836;0,5074099437148217;21,963256188781756;1;15;Champion
156,0;15516;6244400,0;300,0;79,34390306780098;92,35627739108018;0,2078424851765919;16,77730187495154;1;11;Pro-genre
160,0;1984;9929675,0;4750,0;37,247983870967744;98,23588709677419;;15,288749020152785;1;13;Non classifié
161,0;5013;13166150,0;1675,0;45,860762018751245;93,95571514063435;0,266;14,118885854073289;1;14;Pro-pauvres
162,0;880;2667850,0;2862,5;3,295454545454545;91,81818181818183;0,4729999999999999;19,35099777686102;1;9;Pro-pauvres
163,0;10579;7419225,0;575,0;32,01625862557898;88,48662444465451;0,3855;15,499726871636595;1;15;Pro-pauvres
164,0;10418;3613900,0;300,0;97,95546170090228;97,35073910539451;0,208;14,307496329893294;1;15;Pro-genre
165,0;128;786250,0;6025,0;9,375;100,0;;7,6650162760416665;1;8;Non classifié
182,0;3551;1156650,0;275,0;97,85975781470009;97,52182483807378;0,445;7,282517222409386;1;10;Champion
183,0;2769;1017925,0;225,0;94,54676778620441;94,11339833875046;0,516718490429758;9,539264921939399;1;11;Champion
184,0;328;295350,0;750,0;69,8170731707317;98,47560975609755;0,1268414634146341;12,671528996101365;1;9;Pro-genre
187,0;1396;1276900,0;775,0;53,51002865329513;96,84813753581662;0,575;12,35033091407791;1;11;Pro-pauvres
202,0;8471;7813550,0;775,0;3,1401251328060447;87,75823397473734;0,208;22,3457936289969;1;2;Standard
203,0;181;89275,0;500,0;62,430939226519335;100,0;0,208;7,6350831287088194;1;12;Pro-genre
210,0;744;1087225,0;1250,0;52,82258064516129;87,5;0,26107862903225804;16,47011302056665;3;4;Pro-pauvres
211,0;177;266900,0;1525,0;59,32203389830508;100,0;;10,460341010148566;1;1;Non classifié
217,0;1717;710325,0;375,0;52,475247524752476;91,67152009318579;0,1490145602795573;14,43401663019436;1;11;Standard
222,0;4082;3753025,0;775,0;29,421852033317002;85,49730524252817;0,3537311366976972;17,609101009498037;1;15;Pro-pauvres
225,0;105;71550,0;400,0;7,6190476190476195;100,0;0,1591857142857143;5,507068121693122;2;1;Standard
231,0;2546;2793175,0;925,0;86,05655930871956;96,03299293008641;0,1575;13,338110798682118;1;14;Pro-genre
258,0;313;184300,0;575,0;38,977635782747605;100,0;0,19298402555910543;6,833912332860016;1;4;Standard
259,0;256;68150,0;275,0;31,25;100,0;0,32309765625;5,971828296802662;2;1;Pro-pauvres
271,0;266;69325,0;250,0;21,804511278195488;100,0;0,266;12,689484562099693;1;3;Pro-pauvres
277,0;440;125850,0;325,0;54,54545454545454;100,0;0,208;5,476806581439393;1;2;Standard
281,0;194;157250,0;550,0;25,257731958762886;100,0;0,351;8,275373174398625;1;5;Pro-pauvres
288,0;10005;2014550,0;150,0;11,724137931034482;90,05497251374312;0,3109064467766117;13,20002993330456;1;5;Pro-pauvres
296,0;5266;1142900,0;175,0;97,47436384352449;97,683251044436;0,2835;8,714061485243505;1;11;Champion
302,0;988;335650,0;250,0;48,582995951417004;100,0;0,4845;8,93036874203404;1;1;Pro-pauvres
305,0;2405;1365500,0;500,0;98,71101871101871;100,0;0,17099999999999999;12,900049255986756;1;9;Pro-genre
324,0;351;572850,0;1800,0;19,08831908831909;100,0;0,208;8,993195763427245;1;1;Standard
329,0;1122;1408775,0;1100,0;25,846702317290553;99,01960784313727;0,33391666666666664;6,756349562039537;1;4;Pro-pauvres
343,0;262;46625,0;150,0;40,0763358778626;97,32824427480917;0,3855;4,129248048293392;1;3;Pro-pauvres
346,0;184;516100,0;2562,5;98,91304347826086;100,0;0,1575;9,459017713365538;1;7;Pro-genre
359,0;1702;524550,0;225,0;72,03290246768508;99,41245593419507;0,3985;8,013588578605201;1;13;Champion
364,0;131;41175,0;225,0;13,740458015267176;100,0;0,445;9,319366959994346;1;2;Pro-pauvres
365,0;130;156000,0;1112,5;58,46153846153847;96,92307692307692;0,155;12,794533546443269;1;5;Standard
367,0;1110;1567500,0;1275,0;99,27927927927928;94,68468468468468;0,08173423423423423;12,452849116361843;1;13;Pro-genre
379,0;654;368250,0;450,0;98,92966360856269;99,84709480122325;;8,724795441977198;1;10;Non classifié
381,0;902;1113275,0;1187,5;99,88913525498891;99,44567627494457;0,2596064301552106;5,818370661980263;1;11;Pro-genre
384,0;165;194650,0;1075,0;49,696969696969695;93,93939393939394;0,1575;11,945376269414576;1;8;Standard
386,0;2891;1387750,0;450,0;67,10480802490487;80,31822898650985;0,2061141473538568;20,248969184650843;1;14;Pro-genre
388,0;3254;1074000,0;225,0;70,31346035648433;97,01905347264905;0,208;11,664972214156665;1;12;Pro-genre
392,0;327;697075,0;1850,0;38,226299694189606;91,74311926605505;0,1575;16,547878125;1;13;Standard
398,0;1059;1692625,0;1350,0;93,67327667610954;98,7724268177526;0,575;11,097726646041357;1;9;Champion
402,0;1004;1227875,0;712,5;28,18725099601594;90,43824701195219;;19,09119458975771;1;12;Non classifié
418,0;279;191500,0;525,0;67,38351254480287;100,0;0,1575;9,749633363201912;1;9;Pro-genre
422,0;159;70900,0;300,0;44,0251572327044;100,0;0,561;6,612328499883531;1;11;Pro-pauvres
433,0;170;143650,0;700,0;57,647058823529406;98,82352941176471;0,16865294117647056;12,639985807980601;1;9;Standard
438,0;1837;4601075,0;2350,0;31,84540010887316;81,11050626020686;0,4845;22,270504031506338;1;10;Pro-pauvres
441,0;282;74625,0;300,0;50,35460992907801;100,0;0,266;7,126237235684266;1;1;Pro-pauvres
443,0;2118;661475,0;250,0;83,3805476864967;98,63078375826251;0,3985;10,827507141685727;1;12;Champion
444,0;149;194225,0;1250,0;59,06040268456376;100,0;0,25409060402684563;12,890345901690281;1;2;Pro-genre
445,0;201;307125,0;1225,0;62,68656716417911;100,0;;7,411079498341625;1;13;Non classifié
449,0;533;100000,0;150,0;24,765478424015008;98,68667917448406;0,1575;14,870676577242643;1;1;Standard
452,0;422;359525,0;825,0;29,14691943127962;100,0;0,1498957345971564;7,468920841012814;1;1;Standard
458,0;190;52750,0;250,0;100,0;100,0;0,1575;7,458856603313841;1;9;Pro-genre
466,0;243;121500,0;500,0;48,971193415637856;95,06172839506173;0,02773662551440329;16,325112233445566;1;1;Standard
473,0;153;50100,0;300,0;58,82352941176471;100,0;0,208;18,49657702432825;1;1;Pro-genre
